"","date","petrol","diesel","bottled_water","treated_water","soap","laundry_powder","sanitary_napkins","cost_cubic_meter","exchange_rates","num_obs"
"1","2020-06-01",315,345,150,105,150,120,550,1500,622,205
"2","2020-05-01",295,345,150,112.5,150,120,530,1250,600,259
"3","2020-04-01",295,345,131.25,162.5,150,120,500,1550,600,278
"4","2020-03-01",365,430,137.5,120,150,120,512.5,2000,596.5,261
"5","2020-02-01",370,423.75,135,122.5,150,112,500,2291.5,596,256
"6","2020-01-01",365,430,125,135,150,110.625,500,2416.5,594.25,251
"7","2019-12-01",365,420,130,128.75,150,115,500,2000,579,192
"8","2019-11-01",365,412.5,137.5,130,150,112.25,500,1500,570,246
"9","2019-10-01",365,405,150,120,150,120,500,2250,584,198
"10","2019-09-01",367.5,411.25,125,120,150,110,512.5,1875,600,194
"11","2019-08-01",370,401.25,137.5,120,140,130,550,1450,585,171
"12","2019-07-01",365,410,127.5,120,128.75,110,500,1358.25,572.5,178
"13","2019-06-01",365,400,130,130,135,120,528,1500,560,201
"14","2019-05-01",365,408.75,115,113.75,134.25,114.75,510,1900,536,214
"15","2019-04-01",365,430,120,105,130,105,525,1875,510.75,285
"16","2019-03-01",365,430,120,114.375,135,104.5,525,1500,570.5,326
"17","2019-02-01",325,375,110,112.5,128.7037037,100,523.020833325,1500,580,350
"18","2019-01-01",400,400,105,120,128,100,515,1425,547.5,371
"19","2018-12-01",400,445,120,105,140,102.5,547.5,2000,500,359
"20","2018-11-01",500,530,150,120,150,128.75,575,1750,540,354
"21","2018-10-01",577.5,590,150,162.5,150,140,600,1714.625,745,346
"22","2018-09-01",650,580,141.25,137.5,175.714285714285,101.136363636363,587.5,2000,670,335
"23","2018-08-01",405,390,115,120,146.666666666667,104.545454545455,445,1250,NA,324
"24","2018-07-01",373.75,375,100,100,133.630952380952,87.5,400,1012.5,NA,323
"25","2018-06-01",374.5,375,100,118.75,100,76.4772727272727,393.4375,1275,NA,340
"26","2018-05-01",365,365,100,200,100,75,350,1250,NA,320
"27",NA,365,400,120,120,150,109.090909095454,500,1600,585,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271
